1	2	2
1	3	2
1	4	6
1	5	3
1	7	3
1	10	2
1	11	1
1	12	7
1	13	1
1	14	6
1	15	3
1	16	3
1	17	1
1	18	3
1	20	2
1	21	3
2	3	3
2	4	1
2	5	1
2	6	2
2	7	1
2	10	2
2	11	1
2	12	1
2	13	2
2	16	3
2	17	4
2	18	9
2	19	1
2	21	2
3	5	6
3	6	3
3	9	1
3	10	4
3	11	2
3	13	1
3	15	1
3	16	2
3	17	10
3	18	10
3	19	1
3	20	2
4	5	2
4	7	6
4	9	1
4	12	6
4	13	1
4	14	1
4	15	3
4	16	11
4	17	2
4	18	2
4	20	1
4	21	1
5	6	3
5	7	2
5	9	2
5	10	5
5	11	2
5	13	1
5	14	1
5	15	1
5	16	5
5	17	6
5	18	4
5	20	3
5	21	1
6	7	1
6	8	2
6	9	6
6	10	3
6	11	1
6	13	2
6	14	1
6	16	4
6	17	20
6	18	5
6	19	5
6	20	4
6	21	5
7	9	1
7	10	4
7	11	1
7	12	3
7	16	4
7	17	1
7	18	3
7	19	1
7	20	2
7	21	3
8	9	1
8	10	1
8	13	1
8	14	2
8	15	2
8	17	3
8	18	2
8	19	2
8	21	2
9	16	1
9	17	8
9	18	1
9	19	4
9	20	1
9	21	5
10	11	8
10	16	5
10	17	9
10	18	7
10	19	2
10	20	4
10	21	4
11	16	1
11	17	3
11	18	3
11	19	1
11	20	2
11	21	2
12	13	1
12	14	1
12	15	3
12	16	4
12	18	1
12	21	2
13	15	1
13	16	1
13	17	4
13	18	3
13	19	1
13	20	1
13	21	2
14	15	1
14	16	5
14	17	3
14	20	1
15	16	4
15	17	3
15	18	1
15	20	1
16	17	2
16	18	4
16	20	1
16	21	4
17	18	11
17	19	9
17	20	6
17	21	14
18	19	3
18	20	3
18	21	4
19	20	1
19	21	6
20	21	3
